2022-04-07 20:10:12.705516 Epoch 1, Training loss 1.4873913784439747
2022-04-07 20:10:13.251619 Epoch 2, Training loss 1.9311776023644667
2022-04-07 20:10:13.775136 Epoch 3, Training loss 1.8310115383221552
2022-04-07 20:10:14.303761 Epoch 4, Training loss 1.8014833422807546
2022-04-07 20:10:14.829531 Epoch 5, Training loss 1.791388282409081
2022-04-07 20:10:15.370568 Epoch 6, Training loss 1.7889355237667377
2022-04-07 20:10:15.899773 Epoch 7, Training loss 1.781368544468513
2022-04-07 20:10:16.428319 Epoch 8, Training loss 1.7754071400715754
2022-04-07 20:10:16.982991 Epoch 9, Training loss 1.764854454077207
2022-04-07 20:10:17.509706 Epoch 10, Training loss 1.732100826043349
2022-04-07 20:10:18.032090 Epoch 11, Training loss 1.749818279192998
2022-04-07 20:10:18.552600 Epoch 12, Training loss 1.7327394989820628
2022-04-07 20:10:19.091123 Epoch 13, Training loss 1.7345351416331072
2022-04-07 20:10:19.620414 Epoch 14, Training loss 1.7205622287896962
2022-04-07 20:10:20.155908 Epoch 15, Training loss 1.7081802441523626
2022-04-07 20:10:20.691384 Epoch 16, Training loss 1.6951492084906652
2022-04-07 20:10:21.218236 Epoch 17, Training loss 1.6886076308213747
2022-04-07 20:10:21.743952 Epoch 18, Training loss 1.6779123132045453
2022-04-07 20:10:22.268458 Epoch 19, Training loss 1.6514736322256236
2022-04-07 20:10:22.796988 Epoch 20, Training loss 1.625885193164532
2022-04-07 20:10:23.321678 Epoch 21, Training loss 1.611021408667931
2022-04-07 20:10:23.864434 Epoch 22, Training loss 1.5905957703406994
2022-04-07 20:10:24.394568 Epoch 23, Training loss 1.5749146709075341
2022-04-07 20:10:24.918974 Epoch 24, Training loss 1.5505426755318275
2022-04-07 20:10:25.454970 Epoch 25, Training loss 1.5296838145989637
2022-04-07 20:10:25.995806 Epoch 26, Training loss 1.5105783710112939
2022-04-07 20:10:26.518689 Epoch 27, Training loss 1.4942402793810918
2022-04-07 20:10:27.040791 Epoch 28, Training loss 1.4745810971810267
2022-04-07 20:10:27.571334 Epoch 29, Training loss 1.4625276281283452
